sgRNA	Gene	sample1
MGLibB_00428	1700026D08Rik	0
MGLibB_00429	1700026L06Rik	0
MGLibB_00430	1700026L06Rik	0
MGLibB_00431	1700026L06Rik	0
MGLibB_00432	1700028K03Rik	0
MGLibB_00433	1700028K03Rik	0
MGLibB_00434	1700028K03Rik	0
MGLibB_00435	1700028P14Rik	0
MGLibB_00436	1700028P14Rik	0
MGLibB_00437	1700028P14Rik	0
MGLibB_00438	1700029F12Rik	0
MGLibB_00439	1700029F12Rik	0
MGLibB_00440	1700029F12Rik	0
MGLibB_00441	1700029H14Rik	0
MGLibB_00442	1700029H14Rik	0
MGLibB_00443	1700029H14Rik	0
MGLibB_00444	1700029I15Rik	0
MGLibB_00445	1700029I15Rik	0
MGLibB_00446	1700029I15Rik	0
MGLibB_00447	1700029J07Rik	0
MGLibB_00448	1700029J07Rik	0
MGLibB_00449	1700029J07Rik	0
MGLibB_00450	1700029P11Rik	0
MGLibB_00451	1700029P11Rik	0
MGLibB_00452	1700029P11Rik	0
MGLibB_00453	1700030F18Rik	0
MGLibB_00454	1700030F18Rik	0
MGLibB_00455	1700030F18Rik	0
MGLibB_00456	1700030J22Rik	0
MGLibB_00457	1700030J22Rik	0
MGLibB_00458	1700030J22Rik	0
MGLibB_00459	1700030K09Rik	0
MGLibB_00460	1700030K09Rik	0
MGLibB_00461	1700030K09Rik	0
MGLibB_00462	1700031F05Rik	0
MGLibB_00463	1700031F05Rik	0
MGLibB_00464	1700031F05Rik	0
MGLibB_00465	1700034E13Rik	0
MGLibB_00466	1700034E13Rik	0
MGLibB_00467	1700034E13Rik	0
MGLibB_00468	1700034F02Rik	0
MGLibB_00469	1700034F02Rik	0
MGLibB_00470	1700034F02Rik	0
MGLibB_00471	1700034J05Rik	0
MGLibB_00472	1700034J05Rik	0
MGLibB_00473	1700034J05Rik	0
MGLibB_00474	1700034O15Rik	0
MGLibB_00475	1700034O15Rik	0
MGLibB_00476	1700034O15Rik	0
MGLibB_00477	1700037C18Rik	0
MGLibB_00478	1700037C18Rik	0
MGLibB_00479	1700037C18Rik	0
MGLibB_00480	1700037H04Rik	0
MGLibB_00481	1700037H04Rik	0
MGLibB_00482	1700037H04Rik	0
MGLibB_00483	1700039E15Rik	0
MGLibB_00484	1700039E15Rik	0
MGLibB_00485	1700039E15Rik	0
MGLibB_00486	1700040L02Rik	0
MGLibB_00487	1700040L02Rik	0
MGLibB_00488	1700040L02Rik	0
MGLibB_00489	1700042B14Rik	0
MGLibB_00490	1700042B14Rik	0
MGLibB_00491	1700042B14Rik	0
MGLibB_00492	1700042G07Rik	0
MGLibB_00493	1700042G07Rik	0
MGLibB_00494	1700042G07Rik	0
MGLibB_00496/MGLibB_17302/	1700047I17Rik2/Fam177a/	0
MGLibB_00497/MGLibB_17303/	1700047I17Rik2/Fam177a/	0
MGLibB_00495/MGLibB_17301/	1700047I17Rik2/Fam177a/	0
MGLibB_00498	1700049G17Rik	0
MGLibB_00499	1700049G17Rik	0
MGLibB_00500	1700049G17Rik	0
MGLibB_00501	1700052N19Rik	0
MGLibB_00502	1700052N19Rik	0
MGLibB_00503	1700052N19Rik	0
MGLibB_00504	1700054O13Rik	0
MGLibB_00505	1700054O13Rik	0
MGLibB_00506	1700054O13Rik	0
MGLibB_00507	1700055N04Rik	0
MGLibB_00508	1700055N04Rik	0
MGLibB_00509	1700055N04Rik	0
MGLibB_00510	1700056E22Rik	0
MGLibB_00511	1700056E22Rik	0
MGLibB_00512	1700056E22Rik	0
MGLibB_00513	1700057G04Rik	0
MGLibB_00514	1700057G04Rik	0
MGLibB_00515	1700057G04Rik	0
MGLibB_00516	1700061G19Rik	0
MGLibB_00517	1700061G19Rik	0
MGLibB_00518	1700061G19Rik	0
MGLibB_00519	1700065D16Rik	0
MGLibB_00520	1700065D16Rik	0
MGLibB_00521	1700065D16Rik	0
MGLibB_00522	1700065I17Rik	0
MGLibB_00523	1700065I17Rik	0
MGLibB_00524	1700065I17Rik	0
MGLibB_00525	1700066B19Rik	0
MGLibB_00526	1700066B19Rik	0
MGLibB_00527	1700066B19Rik	0
MGLibB_00528	1700066M21Rik	0
MGLibB_00529	1700066M21Rik	0
MGLibB_00530	1700066M21Rik	0
MGLibB_00531	1700067K01Rik	0
MGLibB_00532	1700067K01Rik	0
MGLibB_00533	1700067K01Rik	0
MGLibB_00534	1700067P10Rik	0
MGLibB_00535	1700067P10Rik	0
MGLibB_00536	1700067P10Rik	0
MGLibB_00537	1700071K01Rik	0
MGLibB_00538	1700071K01Rik	0
MGLibB_00539	1700071K01Rik	0
MGLibB_00540	1700074P13Rik	0
MGLibB_00541	1700074P13Rik	0
MGLibB_00542	1700074P13Rik	0
MGLibB_00543	1700080E11Rik	0
MGLibB_00544	1700080E11Rik	0
MGLibB_00545	1700080E11Rik	0
MGLibB_00546	1700080O16Rik	0
MGLibB_00547	1700080O16Rik	0
MGLibB_00548	1700080O16Rik	0
MGLibB_00549	1700084C01Rik	0
MGLibB_00550	1700084C01Rik	0
MGLibB_00551	1700084C01Rik	0
MGLibB_00552	1700088E04Rik	0
MGLibB_00553	1700088E04Rik	0
MGLibB_00554	1700088E04Rik	0
MGLibB_00555	1700092M07Rik	0
MGLibB_00556	1700092M07Rik	0
MGLibB_00557	1700092M07Rik	0
MGLibB_00558	1700093K21Rik	0
MGLibB_00559	1700093K21Rik	0
MGLibB_00560	1700093K21Rik	0
MGLibB_00561	1700094D03Rik	0
MGLibB_00562	1700094D03Rik	0
MGLibB_00563	1700094D03Rik	0
MGLibB_00564	1700101E01Rik	0
MGLibB_00565	1700101E01Rik	0
MGLibB_00566	1700101E01Rik	0
MGLibB_00567	1700102P08Rik	0
MGLibB_00568	1700102P08Rik	0
MGLibB_00569	1700102P08Rik	0
MGLibB_00570	1700106J16Rik	0
MGLibB_00571	1700106J16Rik	0
MGLibB_00572	1700106J16Rik	0
MGLibB_00573	1700109H08Rik	0
MGLibB_00574	1700109H08Rik	0
MGLibB_00575	1700109H08Rik	0
MGLibB_00576	1700110M21Rik	0
MGLibB_00577	1700110M21Rik	0
MGLibB_00578	1700110M21Rik	0
MGLibB_00579	1700112E06Rik	0
MGLibB_00580	1700112E06Rik	0
MGLibB_00581	1700112E06Rik	0
MGLibB_00582	1700113H08Rik	0
MGLibB_00583	1700113H08Rik	0
MGLibB_00584	1700113H08Rik	0
MGLibB_00585	1700122O11Rik	0
MGLibB_00586	1700122O11Rik	0
MGLibB_00587	1700122O11Rik	0
